filename,profID,Downward/Upward,Date,hh_UTC_start,mm_UTC_start,hh_Local_start,mm_Local_start,hh_UTC_end,mm_UTC_end,hh_Local_end,mm_Local_end,X_m,Y_m,Name_profile,Profile_depth_m,Instrument,Serial_Number,T1,T2,S1,S2,C1,C2,P_offset_dbar,Comments,
Example,1,D,17-May-2024,20,49,22,49,20,56,22,56,540300,150178,P01,140,VMP,28,1699,1704,2020,2080,191,190,,"Time set to UTC, calibration file not modified, small weight",
VMP003,1,D,26-Nov-2025,9,45,10,45,,,,,680442,216834,PS,200,VMP,28,1704,1699,2079,,,,-0.15,"No fluoro (cap on), vibrations at 120 m, stop winch at 170m, winch up at 185 m, VMP goes up at 190m",
VMP004,2,D,26-Nov-2025,10,25,11,25,,,,,680538,216813,PS,200,VMP,28,1704,1699,2079,,,,-0.15,"No fluoro (cap on), vibrations over the top 15 m ",
VMP005,3,D,26-Nov-2025,11,50,12,50,,,,,680105,218781,PC,170,VMP,28,1704,1699,2079,,,,-0.15,"Windy, vibrations over the top 25 m",
VMP009,4,D,26-Nov-2025,12,30,13,30,,,,,680155,218711,PC,170,VMP,28,1704,1699,2079,,,,-0.15,"Less wind, 0-20 m contaminated by cable twist, other vibrations over the profile (peak at 55 m depth)",
VMP010,5,D,26-Nov-2025,12,55,13,55,,,,,680174,218702,PC,170,VMP,28,1704,1699,2079,,,,-0.15,"Connection pump-CTD is broken, drifting towards East, no power at the end of the profile",
